,epoch,loss,categorical_accuracy
0,1.0,0.9117637872695923,0.6076585054397583
1,2.0,0.6699029207229614,0.724419355392456
2,3.0,0.589869499206543,0.7884494662284851
3,4.0,0.5521935820579529,0.7972379326820374
4,5.0,0.5765159130096436,0.7978656888008118
5,6.0,0.5886428952217102,0.7953546643257141
6,7.0,0.5852617621421814,0.8047708868980408
7,8.0,0.6449821591377258,0.8003766536712646
8,9.0,0.6672537326812744,0.7890772223472595
9,10.0,0.7751988768577576,0.7853107452392578
10,11.0,0.7059122920036316,0.8022598624229431
11,12.0,0.8039196729660034,0.8003766536712646
12,13.0,0.9235427379608154,0.784055233001709
13,14.0,0.8415976166725159,0.7746390700340271
14,15.0,0.8985702395439148,0.790960431098938
15,16.0,0.8921834230422974,0.7784055471420288
16,17.0,0.9625155925750732,0.7922159433364868
17,18.0,0.9000115394592285,0.7972379326820374
18,19.0,0.9239002466201782,0.7903327345848083
19,20.0,0.946404218673706,0.7859385013580322
20,21.0,0.9670292735099792,0.7765222787857056
21,22.0,0.9744862914085388,0.7796609997749329
22,23.0,0.8853360414505005,0.7639673352241516
23,24.0,1.089463472366333,0.7884494662284851
24,25.0,0.9356583952903748,0.7802887558937073
25,26.0,0.9697622656822205,0.7834274768829346
26,27.0,1.0222175121307373,0.7859385013580322
27,28.0,1.0284159183502197,0.77715003490448
28,29.0,1.136217713356018,0.7859385013580322
29,30.0,1.161490797996521,0.7809165120124817
